stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
291,2410,"STUART + CHAMBERLAIN",,35.070402,-85.246477,,,,,,0
292,1481,"CHAMBERLAIN + CUSHMAN",,35.069305,-85.246922,,,,,,2
293,1471,"CHAMBERLAIN + BOONE",,35.068513,-85.247398,,,,,,2
294,1485,"CHAMBERLAIN + FAIRLEIGH",,35.067210,-85.248115,,,,,,2
297,297,"CAMPBELL + MOON",,35.069498,-85.243775,,,,,,0
298,1430,"CAMPBELL + WILDER",,35.070445,-85.243282,,,,,,2
299,1419,"CAMPBELL + BATTERY HEIGHTS",,35.072432,-85.241392,,,,,,2
300,1427,"CAMPBELL + N.Y. AVE",,35.073402,-85.238100,,,,,,2
312,1143,"3RD + OKNOB",,35.040865,-85.272163,,,,,,2
313,1155,"3RD + WILLOW",,35.039895,-85.269350,,,,,,2
314,2545,"WILLOW + 4TH",,35.039077,-85.269715,,,,,,2
315,2547,"WILLOW + 5TH",,35.038338,-85.270048,,,,,,2
316,2553,"WILLOW + IVY",,35.037455,-85.270447,,,,,,2
317,2559,"WILLOW + VINE",,35.036507,-85.271002,,,,,,2
318,2557,"WILLOW + OAK",,35.035810,-85.271352,,,,,,2
319,2551,"WILLOW + DUNCAN",,35.034157,-85.272273,,,,,,2
320,2549,"WILLOW + CHAMBERLAIN",,35.033347,-85.272718,,,,,,2
321,1255,"BAILEY AVE + KELLY",,35.031813,-85.271797,,,,,,2
322,1256,"BAILEY AVE + LYERLY",,35.031280,-85.270398,,,,,,2
323,1583,"DODDS + DUNCAN",,35.030907,-85.264263,,,,,,2
324,1698,"GLENWOOD + OAK",,35.032365,-85.263453,,,,,,2
325,1704,"GLENWOOD + VINE",,35.033673,-85.262753,,,,,,2
326,1687,"GLENWOOD + 5TH",,35.035048,-85.261990,,,,,,2
327,1685,"GLENWOOD + 4TH",,35.035867,-85.261562,,,,,,2
328,1681,"GLENWOOD + 3RD",,35.036725,-85.261037,,,,,,2
329,1684,"GLENWOOD + 418 GLENWOOD",,35.038692,-85.261020,,,,,,2
330,1700,"GLENWOOD + PARKWOOD",,35.039538,-85.259638,,,,,,2
332,1702,"GLENWOOD + ROBBINS",,35.042582,-85.257827,,,,,,2
333,1696,"GLENWOOD + MISSION",,35.045120,-85.256903,,,,,,2
334,1678,"GLENWOOD + 1016 GLENWOOD",,35.046233,-85.256808,,,,,,2
335,1680,"GLENWOOD + 1208 GLENWOOD",,35.048288,-85.256762,,,,,,2
336,1689,"GLENWOOD + CHAMBERLAIN",,35.049357,-85.257683,,,,,,2
337,1497,"CHAMBERLAIN + POLK",,35.050533,-85.257380,,,,,,2
338,1499,"CHAMBERLAIN + WILCOX",,35.051538,-85.256633,,,,,,2
339,1495,"CHAMBERLAIN + OLIVE",,35.055103,-85.254727,,,,,,2
340,1486,"CHAMBERLAIN + GILBERT",,35.056218,-85.254075,,,,,,2
342,1492,"CHAMBERLAIN + MCRAE",,35.057757,-85.253168,,,,,,2
343,1472,"CHAMBERLAIN + BRAGG",,35.059393,-85.252327,,,,,,2
344,1482,"CHAMBERLAIN + EMMA",,35.060880,-85.251500,,,,,,2
345,1478,"CHAMBERLAIN + CRUTCHFIELD",,35.062760,-85.250498,,,,,,2
346,1490,"CHAMBERLAIN + LATTA",,35.064032,-85.249798,,,,,,2
347,1488,"CHAMBERLAIN + GLASS",,35.065240,-85.249115,,,,,,2
349,2555,"WILLOW + MCCALLIE",,35.035023,-85.271797,,,,,,2
350,1484,"CHAMBERLAIN + FAIRLEIGH",,35.066995,-85.248130,,,,,,2
351,1470,"CHAMBERLAIN + BOONE",,35.068433,-85.247352,,,,,,2
352,1480,"CHAMBERLAIN + CUSHMAN",,35.069188,-85.246922,,,,,,2
353,1498,"CHAMBERLAIN + STUART",,35.070222,-85.246367,,,,,,2
354,2942,"SHOLAR + CARTA",,35.056167,-85.268713,,,,,,2
355,355,"HOLZCLAW + WILCOX",,35.055130,-85.269413,,,,,,0
356,356,"HOLZCLAW + WILSON",,35.054760,-85.270430,,,,,,0
358,358,"HOLZCLAW + CHATTANOOGA HOUSING AUTHORITY",,35.049015,-85.277107,,,,,,0
359,359,"HOLZCLAW + CLEVELAND",,35.046412,-85.278505,,,,,,0
360,1489,"CHAMBERLAIN + GLASS",,35.065688,-85.248940,,,,,,2
361,1491,"CHAMBERLAIN + LATTA",,35.064075,-85.249798,,,,,,2
362,1479,"CHAMBERLAIN + CRUTCHFIELD",,35.063053,-85.250372,,,,,,2
363,1483,"CHAMBERLAIN + EMMA",,35.061098,-85.251437,,,,,,2
364,1473,"CHAMBERLAIN + BRAGG",,35.059557,-85.252278,,,,,,2
365,1493,"CHAMBERLAIN + MCRAE",,35.058127,-85.253057,,,,,,2
366,1487,"CHAMBERLAIN + GILBERT",,35.056307,-85.254043,,,,,,2
367,1496,"CHAMBERLAIN + OLIVE",,35.055337,-85.254567,,,,,,2
368,1494,"CHAMBERLAIN + OCOEE",,35.054205,-85.255187,,,,,,2
369,1477,"CHAMBERLAIN + CAMDEN",,35.053040,-85.255823,,,,,,2
370,1500,"CHAMBERLAIN + WILCOX",,35.052003,-85.256380,,,,,,2
371,1692,"GLENWOOD + LAURA",,35.047993,-85.256587,,,,,,2
372,1679,"GLENWOOD + 1101",,35.046325,-85.256825,,,,,,2
373,1697,"GLENWOOD + MISSION",,35.045268,-85.256935,,,,,,2
374,1695,"GLENWOOD + MILNE",,35.043695,-85.257302,,,,,,2
375,1703,"GLENWOOD + ROBBINS",,35.042837,-85.257778,,,,,,2
376,1701,"GLENWOOD + PARKWOOD",,35.039903,-85.259463,,,,,,2
377,1683,"GLENWOOD + 417",,35.038758,-85.261085,,,,,,2
378,1682,"GLENWOOD + 3RD",,35.037145,-85.261085,,,,,,2
379,2724,"GLENWOOD + 4TH",,35.036200,-85.261545,,,,,,2
380,1688,"GLENWOOD + 5TH",,35.035365,-85.261990,,,,,,2
381,1691,"GLENWOOD + IVY",,35.034547,-85.262420,,,,,,2
382,1705,"GLENWOOD + VINE",,35.033685,-85.262880,,,,,,2
383,1699,"GLENWOOD + OAK",,35.032867,-85.263342,,,,,,2
384,1693,"GLENWOOD + MCCALLIE",,35.032012,-85.263675,,,,,,2
385,2459,"UNION + BUCKLEY",,35.029373,-85.267665,,,,,,2
386,2462,"UNION + WATKINS",,35.029870,-85.268952,,,,,,2
387,2461,"UNION + LYERLY",,35.030438,-85.270510,,,,,,2
388,2460,"UNION + KELLY",,35.030995,-85.272035,,,,,,2
389,2463,"UNION + WILLOW",,35.031527,-85.273530,,,,,,2
390,2458,"UNION + BAILEY",,35.031845,-85.273435,,,,,,2
391,2550,"WILLOW + CHAMBERLAIN",,35.033077,-85.272925,,,,,,2
392,2552,"WILLOW + DUNCAN",,35.033912,-85.272322,,,,,,2
393,2558,"WILLOW + OAK",,35.035508,-85.271400,,,,,,2
394,2560,"WILLOW + VINE",,35.036312,-85.270987,,,,,,2
395,2554,"WILLOW + IVY",,35.037122,-85.270525,,,,,,2
396,2548,"WILLOW + 5TH",,35.038008,-85.270128,,,,,,2
397,1156,"3RD + WILLOW",,35.039180,-85.269540,,,,,,2
398,2727,"3RD + ROANOKE",,35.040313,-85.270415,,,,,,2
399,14,"3RD + ORCHARD KNOB",,35.040778,-85.271797,,,,,,2
407,2236,"MCCALLIE AVE + BRYAN HOME",,35.044178,-85.296657,,,,,,2
408,2234,"MCCALLIE AVE + BALDWIN",,35.044985,-85.298818,,,,,,2
409,2240,"MCCALLIE AVE + DOUGLAS",,35.045875,-85.301393,,,,,,2
412,2260,"MCCALLIE AVE + STATE BLDG",,35.046457,-85.302903,,,,,,2
413,2249,"MCCALLIE + HOUSTON",,35.046877,-85.304015,,,,,,2
423,1380,"BROAD + 6TH",,35.049397,-85.310738,,,,,,2
424,1382,"BROAD + 7TH",,35.048177,-85.310675,,,,,,2
425,1384,"BROAD + 8TH",,35.046968,-85.310628,,,,,,2
426,426,"BROAD + M.L.KING",,35.045475,-85.310548,,,,,,0
427,427,"BROAD + TVA #1",,35.043133,-85.310325,,,,,,0
487,487,"BROAD + 8TH",,35.047275,-85.310453,,,,,,0
488,1383,"BROAD + 7TH",,35.048455,-85.310468,,,,,,2
489,489,"BROAD + 6TH NS",,35.049897,-85.310453,,,,,,0
493,1343,"BROAD + 11TH",,35.044083,-85.310532,,,,,,2
495,495,"12TH + MARKET",,35.041823,-85.308990,,,,,,0
505,2321,"RIVERSIDE + RIVER PARK",,35.056017,-85.281080,,,,,,2
509,509,"NORTHGATE MALL",,35.128857,-85.240707,,,,,,0
511,1262,"BARTON + CREWDSON",,35.063880,-85.297498,,,,,,2
512,1265,"BARTON + MCFARLAND",,35.064353,-85.296577,,,,,,2
513,1267,"BARTON + NORMAL",,35.064968,-85.295178,,,,,,2
514,1266,"BARTON + MISSISSIPPI",,35.065648,-85.293192,,,,,,2
515,1269,"BARTON + RUSSELL",,35.066182,-85.291618,,,,,,2
516,1264,"BARTON + DUGDALE",,35.066678,-85.290203,,,,,,2
517,1933,"HIXSON PK + HANOVER",,35.068335,-85.289408,,,,,,2
518,518,"FALMOUTH + HIXSON PIKE",,35.069372,-85.289250,,,,,,0
519,1896,"HIXSON PK + 1312",,35.070953,-85.289075,,,,,,2
520,1899,"HIXSON PK + 1336",,35.072960,-85.288582,,,,,,2
522,1971,"HIXSON PK + RIVERVIEW",,35.075142,-85.288168,,,,,,2
523,1973,"HIXSON PK + S SHADY",,35.076672,-85.288295,,,,,,2
524,1958,"HIXSON PK + N SHADY",,35.078138,-85.289138,,,,,,2
525,1982,"HIXSON PK + WOODHILL",,35.079592,-85.289695,,,,,,2
526,1901,"HIXSON PK + 1814",,35.080545,-85.289773,,,,,,2
527,1954,"HIXSON PK + MINNEKAHDA",,35.081805,-85.289853,,,,,,2
529,1916,"HIXSON PK + CONTINENTAL",,35.086737,-85.290203,,,,,,2
530,1905,"HIXSON PK + ALTAMONT",,35.087957,-85.288932,,,,,,2
531,1965,"HIXSON PK + RIVER HILL",,35.090230,-85.286865,,,,,,2
532,1935,"HIXSON PK + HAYWOOD",,35.091413,-85.286468,,,,,,2
533,1961,"HIXSON PK + OZARK",,35.094123,-85.285372,,,,,,2
534,1969,"HIXSON PK + RIVERMONT",,35.096167,-85.282462,,,,,,2
536,1952,"HIXSON PK + MEADOW LAKE",,35.100180,-85.277837,,,,,,2
537,1967,"HIXSON PK + RIVERMONT PL",,35.100950,-85.276693,,,,,,2
538,1968,"HIXSON PK + RIVERMONT SCHOOL",,35.101912,-85.275230,,,,,,2
539,1944,"HIXSON PK + LUPTON",,35.104133,-85.273593,,,,,,2
540,1939,"HIXSON PK + INTERMONT",,35.106350,-85.272353,,,,,,2
541,1946,"HIXSON PK + MANCHESTER",,35.108143,-85.271653,,,,,,2
542,1948,"HIXSON PK + MAULDETH",,35.109895,-85.270938,,,,,,2
543,1929,"HIXSON PK + GRACE BIBLE",,35.111532,-85.269143,,,,,,2
544,1978,"HIXSON PK + W FAIRFAX",,35.112183,-85.266743,,,,,,2
546,1941,"HIXSON PK + KENSINGTON",,35.113042,-85.262530,,,,,,2
547,1959,"HIXSON PK + NORCROSS",,35.113337,-85.261402,,,,,,2
549,1902,"HIXSON PK + ACCESS RD",,35.114353,-85.257142,,,,,,2
550,1920,"HIXSON PK + DUPONT ELEM",,35.114790,-85.253693,,,,,,2
551,1984,"HIXSON PK + YMCA",,35.115197,-85.251818,,,,,,2
552,1921,"HIXSON PK + DUPONT PKWY",,35.117095,-85.250308,,,,,,2
553,1931,"HIXSON PK + HAMILL",,35.118363,-85.249703,,,,,,2
554,1909,"HIXSON PK + BAGWELL",,35.121387,-85.248638,,,,,,2
556,1980,"HIXSON PK + WILLIAMS",,35.125090,-85.247478,,,,,,2
557,1914,"HIXSON PK + CLOVERDALE",,35.128448,-85.246445,,,,,,2
558,558,"NORTHGATE + PANERA",,35.132243,-85.241915,,,,,,0
559,559,"NORTHGATE + T.J.MAXX",,35.130923,-85.242043,,,,,,0
560,560,"NORTHGATE + ARBYS",,35.128273,-85.242010,,,,,,0
561,561,"N POINT BLVD + LOWES",,35.138462,-85.246858,,,,,,0
562,562,"N POINT BLVD + OWEN CYCLERY",,35.138680,-85.244188,,,,,,0
563,563,"N POINT BLVD + HIXON PK",,35.135835,-85.239452,,,,,,0
564,564,"NORTHGATE + CHILIS",,35.132497,-85.241295,,,,,,0
568,1217,"5TH + REPUBLIC LOT",,35.050933,-85.310040,,,,,,2
569,1378,"BROAD + JACKS ALLEY",,35.051580,-85.310570,,,,,,2
570,1915,"HIXSON PK + CLOVERDALE",,35.128325,-85.246683,,,,,,2
571,1981,"HIXSON PK + WILLIAMS",,35.127185,-85.246970,,,,,,2
572,1924,"HIXSON PK + ELY",,35.123223,-85.248193,,,,,,2
573,1910,"HIXSON PK + BAGWELL",,35.121967,-85.248592,,,,,,2
574,1932,"HIXSON PK + HAMILL",,35.118442,-85.249878,,,,,,2
575,1938,"HIXSON PK + HIGHWOOD",,35.114962,-85.253328,,,,,,2
576,1953,"HIXSON PK + TACO BELL",,35.114893,-85.255665,,,,,,2
577,1903,"HIXSON PK + ACCESS RD",,35.114718,-85.256555,,,,,,2
578,1960,"HIXSON PK + NORCROSS",,35.113587,-85.261338,,,,,,2
579,579,"HIXSON PK + KENSINGTON",,35.113308,-85.262323,,,,,,0
580,580,"HIXSON PK + FOREST HIGHLAND",,35.113130,-85.263388,,,,,,0
581,1979,"HIXSON PK + W FAIRFAX",,35.112378,-85.266647,,,,,,2
583,1949,"HIXSON PK + MAULDETH",,35.110137,-85.270938,,,,,,2
584,1956,"HIXSON PK + MUNRO",,35.109358,-85.271320,,,,,,2
585,1947,"HIXSON PK + MANCHESTER",,35.108460,-85.271653,,,,,,2
586,1940,"HIXSON PK + INTERMONT",,35.106875,-85.272273,,,,,,2
587,1945,"HIXSON PK + LUPTON",,35.104447,-85.273545,,,,,,2
588,588,"HIXSON PK + PRES CHURCH",,35.102242,-85.274960,,,,,,0
589,1911,"HIXSON PK + BLACK OAK",,35.101530,-85.275738,,,,,,2
590,1942,"HIXSON PK + LAWSON",,35.100700,-85.277185,,,,,,2
591,1943,"HIXSON PK + LINDEN HALL",,35.100103,-85.277965,,,,,,2
592,1977,"HIXSON PK + VAN BUREN",,35.099742,-85.278838,,,,,,2
593,1970,"HIXSON PK + RIVERMONT",,35.096353,-85.282352,,,,,,2
594,1962,"HIXSON PK + OZARK",,35.094163,-85.285292,,,,,,2
595,1936,"HIXSON PK + HAYWOOD",,35.091517,-85.286468,,,,,,2
596,1966,"HIXSON PK + RIVER MANOR",,35.090417,-85.286850,,,,,,2
597,1906,"HIXSON PK + ALTAMONT",,35.088258,-85.288487,,,,,,2
598,1917,"HIXSON PK + CONTINENTAL",,35.086812,-85.290235,,,,,,2
599,1922,"HIXSON PK + E DALLAS",,35.081885,-85.289885,,,,,,2
600,1983,"HIXSON PK + WOODHILL",,35.079655,-85.289758,,,,,,2
601,1957,"HIXSON PK + N SHADY",,35.078125,-85.289233,,,,,,2
602,1974,"HIXSON PK + S SHADY",,35.076735,-85.288423,,,,,,2
603,1925,"HIXSON PK + ENGLEWOOD",,35.074565,-85.288455,,,,,,2
604,604,"HIXSON PIKE + DARTMOUTH",,35.070238,-85.289313,,,,,,0
605,1934,"HIXSON PK + HANOVER",,35.068680,-85.289472,,,,,,2
606,1919,"HIXSON PK + DUGDALE",,35.066785,-85.290155,,,,,,2
